"full_name","spkid","orbit_id","a","e","i","q","ad","om","w","ma","n","tp","neo","pha"
"  1566 Icarus (1949 MA)",20001566,"JPL 182",1.078,0.8270,22.80,0.187,1.97,87.95,31.43,160.86,0.8805,2460417.82,Y,Y
"  1620 Geographos (1951 RA)",20001620,"JPL 764",1.246,0.3356,13.34,0.828,1.66,337.15,277.01,289.36,0.709,2460700.14,Y,Y
"  1685 Toro (1948 OA)",20001685,"JPL 813",1.368,0.4361,9.38,0.771,1.96,274.21,127.27,196.26,0.616,2460866.28,Y,N
"  1862 Apollo (1932 HA)",20001862,"JPL 534",1.471,0.5599,6.35,0.647,2.29,35.56,286.03,252.87,0.5527,2460794.35,Y,Y
"  1863 Antinous (1948 EA)",20001863,"JPL 238",2.261,0.6063,18.35,0.890,3.63,346.00,268.57,173.83,0.2898,2460000.70,Y,N
"  1864 Daedalus (1971 FA)",20001864,"JPL 732",1.461,0.6143,22.21,0.564,2.36,6.61,325.66,34.28,0.5581,2460539.09,Y,N
"  1865 Cerberus (1971 UA)",20001865,"JPL 360",1.08,0.4668,16.10,0.576,1.58,212.89,325.29,328.39,0.8782,2460636.50,Y,N
"  1866 Sisyphus (1972 XA)",20001866,"JPL 1031",1.894,0.5380,41.21,0.875,2.91,63.45,293.12,349.34,0.3782,2460628.69,Y,N
"  1981 Midas (1973 EA)",20001981,"JPL 232",1.776,0.6505,39.82,0.621,2.93,356.80,267.84,258.81,0.4163,2460843.56,Y,Y
"  2063 Bacchus (1977 HB)",20002063,"JPL 241",1.078,0.3494,9.44,0.701,1.45,33.04,55.34,242.55,0.8806,2460733.87,Y,N
"  2101 Adonis (1936 CA)",20002101,"JPL 47",1.874,0.7642,1.32,0.442,3.31,349.43,43.69,230.82,0.3842,2460936.75,Y,Y
"  2102 Tantalus (1975 YA)",20002102,"JPL 260",1.29,0.2993,64.00,0.904,1.68,94.35,61.52,78.27,0.6726,2460484.14,Y,Y
"  2135 Aristaeus (1977 HA)",20002135,"JPL 24",1.6,0.5030,23.07,0.795,2.40,191.11,290.97,202.31,0.4871,2460924.20,Y,Y
"  2201 Oljato (1947 XC)",20002201,"JPL 269",2.179,0.7107,2.52,0.630,3.73,74.87,98.37,334.42,0.3065,2460683.95,Y,Y
"  2212 Hephaistos (1978 SB)",20002212,"JPL 671",2.166,0.8361,11.31,0.355,3.98,27.01,210.05,184.81,0.3091,2461167.29,Y,N
"  2329 Orthos (1976 WA)",20002329,"JPL 376",2.41,0.6533,24.46,0.836,3.99,169.28,146.05,325.99,0.2634,2460729.64,Y,N
"  3103 Eger (1982 BB)",20003103,"JPL 833",1.404,0.3542,20.93,0.907,1.90,129.73,254.12,304.12,0.5924,2460694.82,Y,N
"  3200 Phaethon (1983 TB)",20003200,"JPL 806",1.271,0.8898,22.31,0.140,2.40,265.10,322.31,248.98,0.6875,2460762.00,Y,Y
"  3360 Syrinx (1981 VA)",20003360,"JPL 136",2.468,0.7457,21.14,0.628,4.31,242.46,63.56,49.58,0.2542,2460405.44,Y,N
"  3361 Orpheus (1982 HR)",20003361,"JPL 185",1.21,0.3229,2.66,0.820,1.60,188.68,302.34,24.54,0.7401,2460567.34,Y,Y
"  3671 Dionysus (1984 KD)",20003671,"JPL 210",2.2,0.5420,13.54,1.008,3.39,82.05,204.33,131.35,0.302,2460165.58,Y,Y
"  3752 Camillo (1985 PA)",20003752,"JPL 476",1.414,0.3016,55.56,0.987,1.84,147.96,312.22,8.79,0.5864,2460585.52,Y,N
"  3757 Anagolay (1982 XB)",20003757,"JPL 57",1.834,0.4459,3.87,1.017,2.65,74.93,17.24,293.70,0.3967,2460767.65,Y,Y
"  3838 Epona (1986 WA)",20003838,"JPL 218",1.505,0.7027,29.20,0.447,2.56,235.47,49.72,225.76,0.534,2460851.91,Y,N
"  4015 Wilson-Harrington (1979 VA)",20004015,"JPL 331",2.626,0.6312,2.80,0.968,4.28,266.73,95.52,181.75,0.2317,2461369.95,Y,Y
"  4034 Vishnu (1986 PA)",20004034,"JPL 138",1.06,0.4441,11.17,0.589,1.53,157.89,296.70,260.40,0.9037,2460710.71,Y,Y
"  4179 Toutatis (1989 AC)",20004179,"JPL 645",2.543,0.6248,0.45,0.954,4.13,125.36,277.88,339.68,0.243,2460684.14,Y,Y
"  4183 Cuno (1959 LM)",20004183,"JPL 650",1.981,0.6361,6.67,0.721,3.24,294.35,237.02,175.91,0.3536,2460102.94,Y,Y
"  4197 Morpheus (1982 TA)",20004197,"JPL 200",2.295,0.7724,12.60,0.522,4.07,7.01,122.55,357.11,0.2835,2460610.68,Y,N
"  4257 Ubasti (1987 QA)",20004257,"JPL 336",1.647,0.4683,40.72,0.876,2.42,169.15,278.94,160.95,0.4662,2460255.27,Y,N
"  4341 Poseidon (1987 KF)",20004341,"JPL 178",1.834,0.6800,11.84,0.587,3.08,108.03,15.83,44.04,0.3968,2460489.51,Y,N
"  4450 Pan (1987 SY)",20004450,"JPL 259",1.443,0.5866,5.52,0.596,2.29,311.70,291.94,192.17,0.5689,2460895.52,Y,Y
"  4486 Mithra (1987 SB)",20004486,"JPL 363",2.205,0.6620,3.04,0.745,3.67,82.18,169.12,156.61,0.3009,2460080.09,Y,Y
"  4544 Xanthus (1989 FB)",20004544,"JPL 405",1.042,0.2501,14.14,0.781,1.30,23.95,333.83,354.50,0.9267,2460606.44,Y,N
"  4581 Asclepius (1989 FC)",20004581,"JPL 112",1.023,0.3570,4.92,0.658,1.39,180.20,255.38,212.12,0.9531,2460755.66,Y,Y
"  4660 Nereus (1982 DB)",20004660,"JPL 277",1.485,0.3587,1.45,0.952,2.02,313.11,159.54,191.96,0.5446,2460909.06,Y,Y
